name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0,sold_in_last_month,status_code,BSR_classificationRanks_rank,BSR_displayGroupRanks_rank
"AGARO Supreme High Pressure Washer, 1800 Watts, 120 Bars, 6.5L/Min Flow Rate, 8 Meters Outlet Hose, Portable, for Car,Bike...",appliances,All Appliances,https://m.media-amazon.com/images/I/61hVdUVkuOL._AC_UL320_.jpg,https://www.amazon.in/Supreme-Pressure-Portable-Cleaning-Purpose/dp/B09VKWGZD7/ref=sr_1_117?qid=1679135591&s=appliances&sr=1-117,4.3,"2,173","₹4,890","₹8,990",116.0,432,200.0,19,432
"Butterfly Smart Wet Grinder, 2L (White) with Coconut Scrapper Attachment, Output - 150 W, Input 260 W",appliances,All Appliances,https://m.media-amazon.com/images/I/613rhyyc3YL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-150-Watt-Grinder-Scrapper-Attachment/dp/B078HG2ZPS/ref=sr_1_119?qid=1679135591&s=appliances&sr=1-119,3.9,"13,174","₹3,599","₹5,156",118.0,389,200.0,19,434
IFB Essentials Fluff Front Load Fabric Liquid Detergent - 1 liters,appliances,All Appliances,https://m.media-amazon.com/images/I/61V7RNLQhYL._AC_UL320_.jpg,https://www.amazon.in/IFB-Essentials-Fluff-Fabric-Detergent/dp/B075GSVL1M/ref=sr_1_120?qid=1679135591&s=appliances&sr=1-120,4.4,"10,292",₹330,₹360,119.0,509,200.0,19,435
"SYSKA Iron Press | 2 Year Warranty | Iron Box, Dry Iron, Electric Press, Electric Iron Press for Clothes, SDI-200 1000-Wat...",appliances,All Appliances,https://m.media-amazon.com/images/I/61ICyg1UxHL._AC_UL320_.jpg,https://www.amazon.in/Syska-SDI-200-1000-Iron-TEAL/dp/B09KPVDBBR/ref=sr_1_121_mod_primary_new?qid=1679135592&s=appliances&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-121,4.0,586,₹525,₹849,120.0,495,200.0,19,436
"AGARO Ace 1600 Watts, 21.5 kPa Suction Power, 21 litres Wet & Dry Stainless Steel Vacuum Cleaner with Blower Function and ...",appliances,All Appliances,https://m.media-amazon.com/images/I/71Z8wOB-WTL._AC_UL320_.jpg,https://www.amazon.in/Ace-1600-Watt-21-Litre-Stainless-Function/dp/B07RCGTZ4M/ref=sr_1_122?qid=1679135592&s=appliances&sr=1-122,4.2,"3,934","₹5,879","₹9,999",121.0,429,200.0,19,437
Themisto TH-WS20 Digital Kitchen Weighing Scale Stainless Steel (5Kg),appliances,All Appliances,https://m.media-amazon.com/images/I/81ddfQ2+-ML._AC_UL320_.jpg,https://www.amazon.in/Themisto-TH-WS20-Digital-Weighing-Stainless/dp/B09W9V2PXG/ref=sr_1_128?qid=1679135592&s=appliances&sr=1-128,4.3,664,₹468,₹759,127.0,404,200.0,19,443
Philips PowerPro FC9352/01 Compact Bagless Vacuum Cleaner for home with 1900 Watt motor for strong suction power (Blue),appliances,All Appliances,https://m.media-amazon.com/images/I/41xQDop2T5L._AC_UL320_.jpg,https://www.amazon.in/Philips-PowerPro-FC9352-01-Compact/dp/B072J83V9W/ref=sr_1_131?qid=1679135592&s=appliances&sr=1-131,4.4,"18,387","₹9,399","₹11,995",130.0,417,200.0,19,446
"Cello Eliza Plastic Laundry Bag/Basket, 50 litres, Light Grey",appliances,All Appliances,https://m.media-amazon.com/images/I/51CyJ9dUiWL._AC_UL320_.jpg,https://www.amazon.in/Plastic-Laundry-Basket-Light-Grey/dp/B01LY9W8AF/ref=sr_1_132?qid=1679135592&s=appliances&sr=1-132,4.2,"7,502",₹799,"₹1,282",131.0,407,200.0,19,447
Havells Aqua Plus 1.2 litre Double Wall Kettle / 304 Stainless Steel Inner Body / Cool touch outer body / Wider mouth/ 2 Y...,appliances,All Appliances,https://m.media-amazon.com/images/I/61SBF33TizS._AC_UL320_.jpg,https://www.amazon.in/HAVELLS-Kettle-Coffee-Boiler-Stainless/dp/B083GKDRKR/ref=sr_1_133?qid=1679135592&s=appliances&sr=1-133,4.5,"34,174","₹1,599","₹2,995",132.0,432,200.0,19,448
"Prestige IRIS LPG Gas Stove, 3 Burner, Black, Glass, Manual",appliances,All Appliances,https://m.media-amazon.com/images/I/614Q2qMRVBL._AC_UL320_.jpg,https://www.amazon.in/Prestige-IRIS-Stove-Burner-Black/dp/B08HNHNHSS/ref=sr_1_135?qid=1679135592&s=appliances&sr=1-135,4.1,"4,515","₹3,799","₹7,950",134.0,505,200.0,19,450
"PrettyKrafts L1113 Laundry Basket for Clothes, Toy Storage Box with Lid & Handles, Toy Storage Box, 75 LTR,Mushroom Print,...",appliances,All Appliances,https://m.media-amazon.com/images/I/61+A0MhKLRL._AC_UL320_.jpg,https://www.amazon.in/PrettyKrafts-Laundry-Clothes-Storage-Mushroom/dp/B08D6RCM3Q/ref=sr_1_137?qid=1679135592&s=appliances&sr=1-137,4.0,"1,211",₹365,₹899,136.0,414,200.0,19,452
"SKYTONE Stainless Steel Electric Meat Grinders with Bowl 700W Heavy for Kitchen Food Chopper, Meat, Vegetables, Onion , Ga...",appliances,All Appliances,https://m.media-amazon.com/images/I/71XQblO2R9L._AC_UL320_.jpg,https://www.amazon.in/SKYTONE-Stainless-Electric-Grinders-Vegetables/dp/B09F6KL23R/ref=sr_1_140?qid=1679135592&s=appliances&sr=1-140,3.9,"1,746","₹1,424","₹2,799",139.0,381,200.0,19,455
"Zerfa® Washer Dryer Anti Vibration Pad with Suction Cup Feet, Fridge Washing Machine Support Feet Pads Leveling Feet Anti ...",appliances,All Appliances,https://m.media-amazon.com/images/I/61GBwi5t+fL._AC_UL320_.jpg,https://www.amazon.in/Vibration-Leveling-Absorber-Cancelling-Furniture/dp/B09S41QSMC/ref=sr_1_142?qid=1679135592&s=appliances&sr=1-142,4.0,"2,465",₹251,₹999,141.0,514,200.0,19,457
"Voltas 1.4 Ton 3 Star Inverter Split AC(Copper, Adjustable Cooling, Anti-dust Filter, 2023 Model, 173V Vectra Platina, White)",appliances,All Appliances,https://m.media-amazon.com/images/I/41TuyxwZ9mL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-173V-Vectra-Platina/dp/B0BRJ7N92P/ref=sr_1_143?qid=1679135592&s=appliances&sr=1-143,4.0,"1,666","₹31,990","₹70,990",142.0,450,200.0,19,458
"LG 7 Kg 5 Star Inverter Fully-Automatic Top Loading Washing Machine (T70SKSF1Z, Middle Free Silver, Smart Motion & TurboDrum)",appliances,All Appliances,https://m.media-amazon.com/images/I/71xTwKIBX-L._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Fully-Automatic-Loading-T70SKSF1Z/dp/B08DF1Y7T7/ref=sr_1_145?qid=1679135594&s=appliances&sr=1-145,4.3,"13,541","₹17,490","₹27,990",144.0,449,200.0,19,460
