_id,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,Unnamed: 0,sold_in_last_month,status_code,BSR_classificationRanks_rank,BSR_displayGroupRanks_rank
6709506cf83cce80e2fd9f7d,Kuber Industries Metallic Flower Print PVC Fridge Top Cover with 6 Utility Side Pockets (Grey),appliances,All Appliances,https://m.media-amazon.com/images/I/613OSDJfg6L._AC_UL320_.jpg,https://www.amazon.in/Kuber-Industries-Metallic-Utility-Pockets/dp/B09VFM7MDQ/ref=sr_1_1107?qid=1679135654&s=appliances&sr=1-1107,4.1,19,₹163,₹399,1106,477,200,19,1383
6709506cf83cce80e2fd9f7e,"Philips HD6976/00 36 Litre Digital Oven Toaster Grill, 2000W, with Opti Temp Technology, Temperature control, Convection M...",appliances,All Appliances,https://m.media-amazon.com/images/I/614jzQFw61L._AC_UL320_.jpg,https://www.amazon.in/HD6976-00-Technology-Temperature-Convection/dp/B08KWC9JDT/ref=sr_1_1113?qid=1679135654&s=appliances&sr=1-1113,4.3,"1,556","₹13,499","₹16,995",1112,478,200,19,1389
6709506cf83cce80e2fd9f7f,Usha Striker Galaxy 1200mm 80-watt Goodbye Dust Ceiling Fan with Anti Dust Feature (Silver Sage),appliances,All Appliances,https://m.media-amazon.com/images/I/711xCixKFXL._AC_UL320_.jpg,https://www.amazon.in/Usha-Striker-Galaxy-80-watt-Dust/dp/B07DPY3P4S/ref=sr_1_1115?qid=1679135654&s=appliances&sr=1-1115,4.1,"3,086","₹3,599","₹4,645",1114,515,200,19,1391
6709506cf83cce80e2fd9f80,Panasonic ER207WK24B Corded/Cordless Rechargeable Trimmer with Quick Adjust Dial(Black),appliances,All Appliances,https://m.media-amazon.com/images/I/61c1vByKjfL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-ER207WK24B-Cordless-Rechargeable-Trimmer/dp/B07W1RMW2H/ref=sr_1_1116?qid=1679135654&s=appliances&sr=1-1116,4.3,"5,322","₹1,734","₹1,995",1115,428,200,19,1392
6709506cf83cce80e2fd9f81,Lifelong LLQHIR01 Infinia 800 W Quartz Room Heater with 2 Power Setting (White) & 1000 W Immersion Rod (Black) Super Combo...,appliances,All Appliances,https://m.media-amazon.com/images/I/61KHPkvqS1L._AC_UL320_.jpg,https://www.amazon.in/Lifelong-LLQHIR01-Immersion-Certified-Warranty/dp/B09MG2KVGN/ref=sr_1_1118?qid=1679135654&s=appliances&sr=1-1118,3.6,181,₹637.45,"₹3,500",1117,359,200,19,1394
6709506cf83cce80e2fd9f82,"Whirlpool 260 L Frost-Free Multi-Door Refrigerator (FP 283D PROTTON ROY, German Steel)",appliances,All Appliances,https://m.media-amazon.com/images/I/51j3e0s+zPL._AC_UL320_.jpg,https://www.amazon.in/Whirlpool-Refrigerator-283D-PROTTON-ROY/dp/B07NBZSVCL/ref=sr_1_1122?qid=1679135654&s=appliances&sr=1-1122,4.1,"1,521","₹27,490","₹36,300",1121,471,200,19,1398
6709506cf83cce80e2fd9f83,KONVIO NEER Imported Digital LCD TDS Meter for RO Water Filter Tester and Measuring with Carry Case - Off White,appliances,All Appliances,https://m.media-amazon.com/images/I/51X7JBTKgKL._AC_UL320_.jpg,https://www.amazon.in/Testing-Digital-Waterfilter-Measuring-Temperature/dp/B07Y3DZB35/ref=sr_1_1123?qid=1679135654&s=appliances&sr=1-1123,4.2,"6,856",₹349,₹699,1122,517,200,19,1399
6709506cf83cce80e2fd9f84,"AGARO Regal Air Fryer 23L, 1700W, Stainless Steel Body, 7 Function Settings, 3 Toasting Settings, Baking, Roasting, Toasti...",appliances,All Appliances,https://m.media-amazon.com/images/I/71FK1p5e3UL._AC_UL320_.jpg,https://www.amazon.in/AGARO-Stainless-Function-Settings-Toasting/dp/B0BBGM79DS/ref=sr_1_1128?qid=1679135654&s=appliances&sr=1-1128,4.2,101,"₹10,669","₹22,995",1127,453,200,19,1404
6709506cf83cce80e2fd9f85,AMAZOR 5 Meter AC Outlet Drain Water Pipe and Multipurpose Hose Pipe,appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51RLOrimRdL._AC_UL320_.jpg,https://www.amazon.in/Meter-Outlet-Drain-Water-Multipurpose/dp/B08D6YB2HF/ref=sr_1_1129?qid=1679135655&s=appliances&sr=1-1129,4.3,376,₹220,₹699,1128,454,200,19,1405
6709506cf83cce80e2fd9f86,Crompton Silent Pro Enso 1225 mm (48 inch) ActivBLDC Remote-controlled Ceiling Fan (Silk White),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Mq3lxO-aL._AC_UL320_.jpg,https://www.amazon.in/Crompton-Silent-Activ-Ceiling-Remote/dp/B0845FDCB2/ref=sr_1_1131?qid=1679135655&s=appliances&sr=1-1131,3.5,"1,629","₹6,809","₹11,399",1130,388,200,19,1406
6709506cf83cce80e2fd9f87,Havells-Lloyd 91 L 1 Star Direct-Cool Single Door Fridge (GLDC111RMGW1EB METALLIC GREY),appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51znD1L80nL._AC_UL320_.jpg,https://www.amazon.in/Direct-Cool-Single-Fridge-GLDC111RMGW1EB-METALLIC/dp/B08PP223WX/ref=sr_1_1133?qid=1679135655&s=appliances&sr=1-1133,2.7,9,"₹9,990","₹12,490",1132,259,200,19,1408
6709506cf83cce80e2fd9f88,"Butterfly Rhino Table Top Wet Grinder, 2L (Cherry)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81TayFpcNsL._AC_UL320_.jpg,https://www.amazon.in/Butterfly-Rhino-2-Litre-Grinder-Cherry/dp/B00FXLNKRQ/ref=sr_1_1137?qid=1679135655&s=appliances&sr=1-1137,3.9,"5,080","₹3,899","₹5,057",1136,335,200,19,1412
6709506cf83cce80e2fd9f89,"RODAK Vacuum Cleaner Dust Bag, Practical, Washable and Reusable, Connecting Size 11 cm x 10 cm, 2 L Capacity, Imported",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/81Wy8k6MG6L._AC_UL320_.jpg,https://www.amazon.in/RODAK-Practical-Washable-Reusable-Connecting/dp/B09P797XRM/ref=sr_1_1141?qid=1679135655&s=appliances&sr=1-1141,3.9,198,₹349,₹799,1140,324,200,19,1416
6709506cf83cce80e2fd9f8a,"Wings Star LG Top Load Washing Machine Cover for 6 kg, 6.2 Kg, 6.5 Kg, 7 Kg (58 X 58 X 88 cm) | Waterproof & Dust-Proof To...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/91l3JBINNgS._AC_UL320_.jpg,https://www.amazon.in/Wings-Star-Washing-Machine-Multicolour/dp/B09G6VSYC3/ref=sr_1_1143?qid=1679135655&s=appliances&sr=1-1143,4,381,₹377,₹999,1142,414,200,19,1418
6709506cf83cce80e2fd9f8b,"Bajaj GX-3701 750W Mixer Grinder with Nutri-Pro Feature, 3 Jars, Black",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51yKB66tfzL._AC_UL320_.jpg,https://www.amazon.in/Bajaj-GX-3701-Watts-Grinder/dp/B082FYNYVG/ref=sr_1_1144?qid=1679135655&s=appliances&sr=1-1144,4.1,"1,402","₹3,599","₹5,875",1143,459,200,19,1419
6709506cf83cce80e2fd9f8c,"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RES 7.0KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61xWpnsT5VL._AC_UL320_.jpg,https://www.amazon.in/IFB-Fully-Automatic-Loading-Washing-Technology/dp/B097K6XBG2/ref=sr_1_1145?qid=1679135655&s=appliances&sr=1-1145,4.1,714,"₹18,990","₹21,550",1144,440,200,19,1420
6709506cf83cce80e2fd9f8d,"LG 185 L 4 Star Inverter Direct-Cool Single Door Refrigerator (GL-D199OERY, Ebony Regal, Base stand with drawer)",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/817EjlZZ5ML._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Direct-Cool-Refrigerator-GL-D199OERY/dp/B0BS1VT5YW/ref=sr_1_1146?qid=1679135655&s=appliances&sr=1-1146,4.3,"2,249","₹16,690","₹21,299",1145,409,200,19,1421
6709506cf83cce80e2fd9f8e,"Panasonic 1.5 Ton 3 Star Wi-Fi Inverter Smart Split AC (Copper Condenser, 7 in 1 Convertible with additional AI Mode, PM ...",appliances,All Appliances,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61PWjQFDtQL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Convertible-additional-Purification-CU-SU18YKYWT/dp/B0BRJ5QH8G/ref=sr_1_1150?qid=1679135655&s=appliances&sr=1-1150,4.2,"1,830","₹36,990","₹55,400",1149,479,200,19,1425
6709506cf83cce80e2fd9f8f,Spartan Silica Gel - 5 g (White) - Pack of 80,appliances,All Appliances,https://m.media-amazon.com/images/I/61xDDuPtydL._AC_UL320_.jpg,https://www.amazon.in/Generic-Silica-Gel-Pack-White/dp/B0179V3H5W/ref=sr_1_1156?qid=1679135656&s=appliances&sr=1-1156,4,"3,032",₹160,₹210,1155,493,200,19,1430
